key
"11 east street cafe|virvani plaza, 11, east st, camp, pune, maharashtra 411001, india"
"bookavibe - book cafe and co-working space|book a vibe, ground floor, rachana tulips, ferguson college rd, behind times of india, near vaishali hotel, ganeshwadi, shivajinagar, pune, maharashtra 411004, india"
"cafe - the voyage|a-2, cafe - the voyage, ground floor ashiyana park, koregaon park, north main road, lane, 5, liberty phase 2, ragvilas society, koregaon park, pune, maharashtra 411001, india"
"cafe goodluck|ferguson college rd, near goodluck chowk, deccan gymkhana, pune, maharashtra 411004, india"
"cafe mhuzo goa|1229, ferguson college rd, shivajinagar, pune, maharashtra 411004, india"
"chafa cafe and studio|a1, aadit enclave building, lane number 5, s main rd, suyojana society, kavadewadi, koregaon park, pune, maharashtra 411001, india"
"coffee nation - law college road|ashok path, shanti sheela society, apex colony, erandwane, pune, maharashtra 411038, india"
"elephant and co. kalyani nagar|metro traders compound complex, pushpak society, plot no. 88, kalyani nagar, pune, maharashtra 411006, india"
"german bakery|292, n main rd, ragvilas society, koregaon park, pune, maharashtra 411001, india"
"high garden|8th floor, next gen avenue, senapati bapat rd, near icc trade tower, bahiratwadi, bhageerath, shivajinagar, pune, maharashtra 411016, india"
"le plaisir|rajkamal survey no. 759/125, prabhat road, opposite cox and kings, near, kelkar nursing home, deccan gymkhana, pune, maharashtra 411004, india"
"one o eight lifestyle cafe|pingale farms, s main rd, behind blossom boulevard, ashok chakra society, iricen railway colony, koregaon park, pune, maharashtra 411001, india"
"thyme & whisk|unit b1 & lg01, jewel square mall, next to bharat petroleum, vasani nagar, koregaon park, pune, maharashtra 411001, india"
"tsuki : asian restaurant|7, a lane, ashok chakra society, vasani nagar, koregaon park, pune, maharashtra 411001, india"
"vohuman cafe|millenium star, chatrapati shahu maharaj rd, near ruby hall, sangamvadi, pune, maharashtra 411001, india"
